SettlementPoint,Year,HourlyVolatility
HB_BUSAVG,2016,13.602433155103242
HB_BUSAVG,2017,10.102381180576712
HB_BUSAVG,2018,75.5462621945006
HB_BUSAVG,2019,164.17702105919628
HB_HOUSTON,2016,16.00816055039889
HB_HOUSTON,2017,15.499466040388285
HB_HOUSTON,2018,75.23700452582234
HB_HOUSTON,2019,164.30252766366692
HB_HUBAVG,2016,13.983130162800443
HB_HUBAVG,2017,10.809147200708471
HB_HUBAVG,2018,75.52346103663642
HB_HUBAVG,2019,164.16314759390423
HB_NORTH,2016,12.922771408673041
HB_NORTH,2017,9.09689085587047
HB_NORTH,2018,75.64190379685573
HB_NORTH,2019,164.31722139504876
HB_PAN,2019,204.4006879271839
HB_SOUTH,2016,14.324413023593642
HB_SOUTH,2017,11.002135011295533
HB_SOUTH,2018,75.44311892021895
HB_SOUTH,2019,163.67439781638097
HB_WEST,2016,13.073483565691543
HB_WEST,2017,9.530828374300436
HB_WEST,2018,76.2020056594796
HB_WEST,2019,164.73475389319728
