SettlementPoint,AveragePrice,Year,Month
HB_HUBAVG,21.830059523809524,2018,2
HB_HUBAVG,22.40343203230148,2018,3
HB_HUBAVG,22.450305555555556,2018,4
HB_HUBAVG,32.834852150537635,2018,5
HB_HUBAVG,29.781861111111112,2018,6
HB_HUBAVG,78.8323252688172,2018,7
HB_HUBAVG,31.694583333333334,2018,8
HB_HUBAVG,27.05302777777778,2018,9
HB_HUBAVG,29.889112903225808,2018,10
HB_HUBAVG,30.277208333333334,2018,11
HB_HUBAVG,30.191989247311827,2018,12
HB_HUBAVG,24.68340053763441,2019,1
HB_HUBAVG,21.25063988095238,2019,2
HB_HUBAVG,27.189030955585466,2019,3
HB_HUBAVG,22.221166666666665,2019,4
HB_HUBAVG,23.883763440860214,2019,5
HB_HUBAVG,25.171541666666666,2019,6
HB_HUBAVG,29.696236559139784,2019,7
HB_HUBAVG,126.34983870967741,2019,8
HB_HUBAVG,79.45919444444445,2019,9
HB_HUBAVG,28.131760752688173,2019,10
HB_HUBAVG,23.257236111111112,2019,11
HB_HUBAVG,18.62337365591398,2019,12
HB_NORTH,19.133306451612903,2016,1
HB_NORTH,15.292658045977012,2016,2
HB_NORTH,16.859367429340512,2016,3
HB_NORTH,18.350666666666665,2016,4
HB_NORTH,17.905631720430108,2016,5
HB_NORTH,23.158055555555556,2016,6
HB_NORTH,26.800793010752688,2016,7
HB_NORTH,29.828387096774193,2016,8
HB_NORTH,26.249180555555554,2016,9
HB_NORTH,24.005255376344085,2016,10
HB_NORTH,18.66488888888889,2016,11
HB_NORTH,25.14904569892473,2016,12
HB_NORTH,22.991854838709678,2017,1
HB_NORTH,19.448199404761905,2017,2
HB_NORTH,21.22777927321669,2017,3
HB_NORTH,21.410555555555554,2017,4
HB_NORTH,23.419919354838708,2017,5
HB_NORTH,25.890569444444445,2017,6
HB_NORTH,30.65431451612903,2017,7
HB_NORTH,26.832728494623655,2017,8
HB_NORTH,23.34611111111111,2017,9
HB_NORTH,21.40590053763441,2017,10
HB_NORTH,21.596208333333333,2017,11
HB_NORTH,20.952997311827957,2017,12
HB_NORTH,37.58590053763441,2018,1
HB_NORTH,21.76702380952381,2018,2
HB_NORTH,22.608008075370122,2018,3
HB_NORTH,23.522916666666667,2018,4
HB_NORTH,35.30614247311828,2018,5
HB_NORTH,30.21188888888889,2018,6
HB_NORTH,78.96845430107527,2018,7
HB_NORTH,31.603051075268816,2018,8
HB_NORTH,27.29963888888889,2018,9
HB_NORTH,30.034166666666668,2018,10
HB_NORTH,31.23488888888889,2018,11
HB_NORTH,30.398266129032258,2018,12
HB_NORTH,24.33263440860215,2019,1
HB_NORTH,20.864955357142858,2019,2
HB_NORTH,28.10371467025572,2019,3
HB_NORTH,22.99740277777778,2019,4
HB_NORTH,23.978884408602152,2019,5
HB_NORTH,25.175819444444443,2019,6
HB_NORTH,29.781290322580645,2019,7
HB_NORTH,126.52185483870967,2019,8
HB_NORTH,79.91958333333334,2019,9
HB_NORTH,27.995967741935484,2019,10
HB_NORTH,23.628611111111113,2019,11
HB_NORTH,18.731989247311827,2019,12
HB_PAN,16.548766666666666,2019,4
HB_PAN,16.414327956989247,2019,5
HB_PAN,20.731319444444445,2019,6
HB_PAN,28.384569892473117,2019,7
HB_PAN,124.99173387096774,2019,8
HB_PAN,72.85329166666666,2019,9
HB_PAN,18.71676075268817,2019,10
HB_PAN,11.661291666666667,2019,11
HB_PAN,8.817244623655913,2019,12
HB_SOUTH,19.21005376344086,2016,1
HB_SOUTH,15.333591954022989,2016,2
HB_SOUTH,16.763109017496635,2016,3
HB_SOUTH,18.51290277777778,2016,4
HB_SOUTH,18.57045698924731,2016,5
HB_SOUTH,24.645375,2016,6
HB_SOUTH,26.960255376344087,2016,7
HB_SOUTH,31.207970430107526,2016,8
HB_SOUTH,27.405569444444446,2016,9
HB_SOUTH,26.689663978494625,2016,10
HB_SOUTH,20.148833333333332,2016,11
HB_SOUTH,25.708991935483873,2016,12
HB_SOUTH,23.62481182795699,2017,1
HB_SOUTH,21.079360119047617,2017,2
HB_SOUTH,23.680753701211305,2017,3
HB_SOUTH,25.609402777777778,2017,4
HB_SOUTH,26.495013440860216,2017,5
HB_SOUTH,29.654694444444445,2017,6
HB_SOUTH,32.1294623655914,2017,7
HB_SOUTH,28.31502688172043,2017,8
HB_SOUTH,25.515097222222224,2017,9
HB_SOUTH,25.563655913978494,2017,10
HB_SOUTH,23.977180555555556,2017,11
HB_SOUTH,21.997916666666665,2017,12
HB_SOUTH,39.498145161290324,2018,1
HB_SOUTH,22.30639880952381,2018,2
HB_SOUTH,22.888452220726784,2018,3
HB_SOUTH,24.471888888888888,2018,4
HB_SOUTH,34.226075268817205,2018,5
HB_SOUTH,30.068638888888888,2018,6
HB_SOUTH,78.84737903225806,2018,7
HB_SOUTH,31.66752688172043,2018,8
HB_SOUTH,27.189805555555555,2018,9
HB_SOUTH,29.772513440860216,2018,10
HB_SOUTH,29.837180555555555,2018,11
HB_SOUTH,30.089301075268818,2018,12
HB_SOUTH,25.08606182795699,2019,1
HB_SOUTH,22.12563988095238,2019,2
HB_SOUTH,27.13555854643338,2019,3
HB_SOUTH,22.463333333333335,2019,4
HB_SOUTH,24.05994623655914,2019,5
HB_SOUTH,23.90436111111111,2019,6
HB_SOUTH,29.6375,2019,7
HB_SOUTH,125.93654569892473,2019,8
HB_SOUTH,78.90047222222222,2019,9
HB_SOUTH,29.46840053763441,2019,10
HB_SOUTH,23.718555555555554,2019,11
HB_SOUTH,18.952513440860216,2019,12
HB_WEST,19.126559139784945,2016,1
HB_WEST,14.988663793103449,2016,2
HB_WEST,15.871668909825033,2016,3
HB_WEST,16.86275,2016,4
HB_WEST,17.337674731182794,2016,5
HB_WEST,23.141930555555554,2016,6
HB_WEST,26.54356182795699,2016,7
HB_WEST,29.78673387096774,2016,8
HB_WEST,26.35425,2016,9
HB_WEST,24.11393817204301,2016,10
HB_WEST,18.778416666666665,2016,11
HB_WEST,24.86266129032258,2016,12
HB_WEST,21.901720430107527,2017,1
HB_WEST,17.61668154761905,2017,2
HB_WEST,19.813593539703902,2017,3
HB_WEST,19.99609722222222,2017,4
HB_WEST,22.166612903225808,2017,5
HB_WEST,25.331694444444445,2017,6
HB_WEST,30.29364247311828,2017,7
HB_WEST,26.817043010752688,2017,8
HB_WEST,22.678819444444443,2017,9
HB_WEST,21.69383064516129,2017,10
HB_WEST,21.001791666666666,2017,11
HB_WEST,20.338037634408604,2017,12
HB_WEST,36.05163978494624,2018,1
HB_WEST,21.087604166666665,2018,2
HB_WEST,20.333620457604308,2018,3
HB_WEST,17.156625,2018,4
HB_WEST,27.692016129032258,2018,5
HB_WEST,28.27702777777778,2018,6
HB_WEST,78.51755376344086,2018,7
HB_WEST,31.560120967741934,2018,8
HB_WEST,26.13959722222222,2018,9
HB_WEST,28.76133064516129,2018,10
HB_WEST,28.71525,2018,11
HB_WEST,29.944005376344087,2018,12
HB_WEST,23.881545698924732,2019,1
HB_WEST,20.491160714285716,2019,2
HB_WEST,25.669676985195157,2019,3
HB_WEST,19.551875,2019,4
HB_WEST,22.70266129032258,2019,5
HB_WEST,24.708555555555556,2019,6
HB_WEST,29.45547043010753,2019,7
HB_WEST,126.31528225806451,2019,8
HB_WEST,78.42925,2019,9
HB_WEST,24.668131720430107,2019,10
HB_WEST,21.66026388888889,2019,11
HB_WEST,18.136424731182796,2019,12
